# id,startDate,stopDate,sampleStartDate,sampleStopDate
solo_L2_swa-pas-grnd-mom,2020-07-06T00:00:00.0,2023-11-01T00:00:00.0,2023-10-31T00:00:00.0,2023-11-01T00:00:00.0
solo_L2_rpw-tnr-surv,2020-06-15T00:00:00.0,2023-09-21T00:00:00.0,2023-09-20T00:00:00.0,2023-09-21T00:00:00.0
solo_L2_rpw-lfr-surv-cwf-b,2020-06-15T00:00:00.0,2023-09-21T00:00:00.0,2023-09-20T00:00:00.0,2023-09-21T00:00:00.0
solo_L2_epd-ept-south-rates,2020-05-13T00:00:00.0,2023-10-01T00:00:00.0,2023-09-30T00:00:00.0,2023-10-01T00:00:00.0
solo_L2_epd-ept-north-burst-ele-close,2020-06-15T12:22:28.0,2020-06-15T12:37:28.0,2020-06-15T12:22:28.0,2020-06-15T12:37:28.0
solo_L2_rpw-lfr-surv-cwf-e,2020-06-15T00:00:00.0,2023-09-21T00:00:00.0,2023-09-20T00:00:00.0,2023-09-21T00:00:00.0
solo_L2_swa-his-pha,2022-01-01T00:00:00.0,2023-04-28T00:00:00.0,2023-04-27T00:00:00.0,2023-04-28T00:00:00.0
solo_L2_swa-eas2-ss-def,2020-06-15T14:49:26.0,2023-11-01T00:00:49.0,2023-10-31T00:02:29.0,2023-11-01T00:00:49.0
solo_L2_rpw-lfr-surv-swf-b,2020-06-15T00:00:00.0,2023-09-21T00:00:00.0,2023-09-20T00:00:00.0,2023-09-21T00:00:00.0
solo_L2_swa-eas1-ss-dnf,2020-06-15T14:49:26.0,2023-11-01T00:00:49.0,2023-10-31T00:02:29.0,2023-11-01T00:00:49.0
solo_L2_epd-ept-asun-rates,2020-05-13T00:00:00.0,2023-10-01T00:00:00.0,2023-09-30T00:00:00.0,2023-10-01T00:00:00.0
solo_L2_swa-eas1-ss-def,2020-06-15T14:49:26.0,2023-11-01T00:00:49.0,2023-10-31T00:02:29.0,2023-11-01T00:00:49.0
solo_L2_epd-ept-south-burst-ion,2020-06-15T12:22:28.0,2020-06-15T12:37:28.0,2020-06-15T12:22:28.0,2020-06-15T12:37:28.0
solo_L2_epd-ept-asun-hcad,2020-05-13T00:00:00.0,2021-03-24T00:00:00.0,2021-03-23T00:00:00.0,2021-03-24T00:00:00.0
solo_L2_mag-vso-burst,2020-12-26T00:00:00.0,2022-09-06T00:00:00.0,2022-09-05T00:00:00.0,2022-09-06T00:00:00.0
solo_L2_rpw-tds-surv-mamp,2020-07-07T00:00:00.0,2023-09-21T00:00:00.0,2023-09-20T00:00:00.0,2023-09-21T00:00:00.0
solo_L2_epd-ept-asun-burst-ion,2020-06-15T12:22:28.0,2020-06-15T12:37:28.0,2020-06-15T12:22:28.0,2020-06-15T12:37:28.0
solo_L2_swa-eas-pad-def,2020-06-16T09:00:01.0,2023-10-31T17:37:31.0,2023-10-31T17:22:32.0,2023-10-31T17:37:31.0
solo_L2_swa-eas1-ss-psd,2020-06-15T14:49:26.0,2023-11-01T00:00:49.0,2023-10-31T00:02:29.0,2023-11-01T00:00:49.0
solo_L2_epd-ept-south-burst-ele-close,2020-06-15T12:22:28.0,2020-06-15T12:37:28.0,2020-06-15T12:22:28.0,2020-06-15T12:37:28.0
solo_L2_epd-het-south-rates,2020-05-13T00:00:00.0,2023-10-01T00:00:00.0,2023-09-30T00:00:00.0,2023-10-01T00:00:00.0
solo_L2_swa-his_rates,2022-01-01T00:00:00.0,2023-04-28T00:00:00.0,2023-04-27T00:00:00.0,2023-04-28T00:00:00.0
solo_L2_swa-pas-eflux,2020-07-06T00:00:00.0,2023-11-01T00:00:00.0,2023-10-31T00:00:00.0,2023-11-01T00:00:00.0
solo_L2_rpw-tds-surv-rswf-b,2020-06-15T00:00:00.0,2023-09-21T00:00:00.0,2023-09-20T00:00:00.0,2023-09-21T00:00:00.0
solo_L2_swa-pas-vdf,2020-07-06T00:00:00.0,2023-11-01T00:00:00.0,2023-10-31T00:00:00.0,2023-11-01T00:00:00.0
solo_L2_mag-srf-normal,2020-04-15T00:00:00.0,2023-11-01T00:00:00.0,2023-10-31T00:00:00.0,2023-11-01T00:00:00.0
solo_L2_epd-ept-south-hcad,2020-05-13T00:00:00.0,2021-03-24T00:00:00.0,2021-03-23T00:00:00.0,2021-03-24T00:00:00.0
solo_L2_epd-step-rates,2020-04-30T00:00:00.0,2021-10-23T00:00:00.0,2021-10-22T00:00:00.0,2021-10-23T00:00:00.0
